CompanyID	Date	Close
1	20120624	259.3
1	20120625	264.07
1	20120626	256.81
1	20120627	248.86
1	20120630	253.17
1	20120701	263.16
1	20120702	272.02
1	20120703	282.01
1	20120704	290.18
1	20120707	300.18
1	20120708	311.53
1	20120709	317.43
1	20120710	308.35
1	20120825	353.31
1	20120826	367.39
1	20120827	381.69
1	20120902	391.45
1	20120903	406.21
1	20120904	422.33
1	20120905	435.73
1	20120908	437.77
1	20120909	420.74
1	20120910	430.05
1	20120911	418.47
1	20120915	433.23
1	20120916	432.55
1	20120917	445.04
1	20120918	462.75
1	20120919	478.42
1	20120922	496.58
1	20120923	488.86
1	20120924	471.83
1	20120925	489.54
1	20120926	509.07
1	20120929	518.61
1	20120930	499.54
1	20121001	481.6
1	20121002	468.65
1	20121003	484.55
1	20121006	465.93
1	20121007	473.2
1	20121008	482.96
1	20121009	488.18
1	20121010	494.31
1	20121013	479.78
1	20121014	478.42
1	20121015	496.81
1	20121016	502.94
1	20121017	501.12
1	20121020	520.2
1	20121021	539.73
1	20121022	559.25
1	20121023	573.33
1	20121024	596.26
1	20121027	620.1
1	20121028	644.85
1	20121029	666.65
1	20121030	686.86
1	20121031	670.97
1	20121104	674.15
1	20121105	653.48
1	20121106	658.02
1	20121107	663.02
1	20121110	652.8
1	20121111	649.62
1	20121112	670.74
1	20121113	697.08
1	20121114	724.78
1	20121117	753.39
1	20121118	760.2
1	20121119	735.91
1	20121120	732.95
1	20121121	704.57
1	20121126	682.09
1	20121127	708.89
1	20121128	734.32
1	20121201	757.48
1	20121202	774.96
1	20121203	775.41
1	20121204	806.07
1	20121205	835.59
1	20121208	831.5
1	20121209	810.38
1	20121210	795.85
1	20121211	815.38
1	20121212	815.83
1	20121215	813.56
1	20121216	832.18
1	20121217	863.97
1	20121218	859.88
1	20121219	853.3
1	20121222	876.68
1	20121223	911.65
1	20121224	947.98
1	20121225	979.32
1	20121226	1013.38
1	20130310	1231.13
1	20130311	1272.45
1	20130312	1269.5
1	20130313	1317.41
1	20130316	1287.21
1	20130317	1245.2
1	20130318	1269.73
1	20130325	1272.23
1	20130326	1304.92
1	20130327	1356.69
1	20130330	1384.17
1	20130331	1436.84
1	20130403	1466.59
1	20130406	1479.99
1	20130407	1480.89
1	20130408	1537.21
1	20130409	1598.51
1	20130410	1603.51
1	20130413	1590.11
1	20130415	1635.52
1	20130416	1697.97
1	20130417	1716.81
1	20130420	1784.48
1	20130421	1805.82
1	20130422	1818.08
1	20130423	1801.28
1	20130424	1867.58
1	20130427	1942.28
1	20130428	2017.9
1	20130430	2113.26
1	20130501	2188.42
1	20130504	2204.99
1	20130505	2117.35
1	20130506	2057.18
1	20130507	1992.69
1	20130508	1912.99
1	20130511	1890.29
1	20130512	1877.8
1	20130513	1803.78
1	20130514	1797.65
1	20130515	1734.52
1	20130518	1727.94
1	20130519	1659.37
1	20130825	3078.78
1	20130826	2993.68
1	20130827	3053.05
1	20130828	2931.35
1	20130831	2947.92
1	20130901	3050.33
1	20130903	3143.34
1	20130904	3085.95
1	20130907	3070.37
1	20130908	2948.17
1	20130909	2918.48
1	20130910	3032.03
1	20130911	3054.54
1	20130914	2936.79
1	20130915	2872.72
1	20130916	2894.49
1	20130917	2983.54
1	20130918	3037.47
1	20130921	2977.36
1	20130922	2875.69
1	20130923	2987.5
1	20130924	2978.1
1	20130925	3003.08
1	20130928	3049.59
1	20130929	3119.1
1	20130930	3236.36
1	20131001	3341.98
1	20131002	3469.38
1	20131005	3595.79
1	20131006	3692.51
1	20131007	3605.19
1	20131008	3662.82
1	20131009	3778.35
1	20131012	3852.56
1	20131013	3998.75
1	20131014	4123.68
1	20131015	4288.42
1	20131019	4438.58
1	20131020	4263.44
1	20131021	4145.44
1	20131022	3979.71
1	20131023	3872.35
1	20131026	4013.84
1	20131027	3858.74
1	20131028	3732.83
1	20131029	3872.1
1	20131030	3879.27
1	20131102	3727.88
1	20131103	3686.57
1	20131104	3665.3
1	20131105	3804.07
1	20131106	3940.62
1	20131109	3824.85
1	20131110	3679.15
1	20131111	3670.74
1	20131112	3664.31
1	20131116	3653.18
1	20131117	3512.67
1	20131118	3412.73
1	20131119	3526.27
1	20131120	3605.68
1	20131123	3494.12
1	20131124	3404.57
1	20131125	3499.56
1	20131126	3522.81
1	20131127	3447.12
1	20131130	3428.81
1	20131201	3545.57
1	20131202	3508.71
1	20131203	3622.75
1	20131204	3702.4
1	20131207	3640.56
1	20131208	3520.83
1	20131209	3656.89
1	20131210	3768.7
1	20131211	3634.38
1	20131214	3706.86
1	20131215	3758.8
1	20131216	3727.88
1	20131217	3629.18
1	20131218	3622.01
1	20131221	3493.87
1	20131222	3492.38
1	20131224	3494.86
1	20131225	3476.06
1	20131228	3456.02
1	20131229	3446.37
1	20131230	3543.84
1	20140101	3662.58
1	20140104	3715.27
1	20140105	3664.31
1	20140106	3583.91
1	20140107	3500.05
1	20140108	3510.44
1	20140111	3625.22
1	20140112	3524.79
1	20140113	3649.22
1	20140114	3571.05
1	20140115	3495.35
1	20140118	3478.78
1	20140120	3454.04
1	20140201	3592.08
1	20140202	3571.3
1	20140203	3588.36
1	20140204	3632.4
1	20140205	3600.73
1	20140208	3522.07
1	20140209	3654.91
1	20140210	3616.81
1	20140212	3485.71
1	20140215	3510.69
1	20140216	3630.42
1	20140217	3740
1	20140218	3696.96
1	20140219	3833.01
1	20140222	3816.69
1	20140223	3703.89
1	20140224	3628.19
1	20140225	3554.47
1	20140226	3578.47
1	20140301	3596.53
1	20140302	3561.9
1	20140303	3479.52
1	20140304	3488.43
1	20140305	3605.93
1	20140308	3561.15
1	20140309	3529.24
1	20140310	3588.12
1	20140311	3548.54
1	20140312	3505.25
1	20140315	3499.06
1	20140316	3490.65
1	20140317	3493.37
1	20140318	3443.41
1	20140319	3394.18
1	20140325	3301.66
1	20140326	3191.58
1	20140329	3067.65
1	20140330	3144.58
1	20140331	3263.81
1	20140405	3198.01
1	20140406	3081.75
1	20140407	3018.42
1	20140408	3038.46
1	20140409	2997.89
1	20140412	2895.23
1	20140413	2869.75
1	20140414	2861.09
1	20140415	2766.85
1	20140416	2797.27
1	20140419	2749.03
1	20140420	2786.88
1	20140421	2882.37
1	20140422	2996.65
1	20140423	3092.39
1	20140426	3211.62
1	20140427	3275.19
1	20140428	3153.73
1	20140429	3092.63
1	20140430	3094.12
1	20140503	3077.54
1	20140504	3035
1	20140505	3086.45
1	20140506	3090.9
1	20140507	3089.42
1	20140510	3051.32
1	20140511	2992.7
1	20140512	2960.29
1	20140514	2914.03
1	20140517	2940.99
1	20140518	3048.6
1	20140519	3056.02
1	20140520	3050.83
1	20140521	3029.31
1	20140524	3001.6
1	20140525	2994.92
1	20140526	2988.74
1	20140528	2961.77
1	20140531	2940.99
1	20140601	2826.96
1	20140602	2903.64
1	20140603	3016.44
1	20140607	3016.2
1	20140608	2996.9
1	20140609	2984.28
1	20140610	2917
1	20140611	2892.51
1	20140614	2837.35
1	20140615	2729.24
1	20140616	2741.61
1	20140617	2733.2
1	20140618	2736.17
1	20140621	2730.98
1	20140622	2714.65
1	20140623	2681.01
1	20140624	2583.3
1	20140625	2631.53
1	20140628	2549.16
1	20140629	2464.56
1	20140630	2396.53
1	20140701	2427.95
1	20140702	2506.12
1	20140705	2600.86
1	20140706	2518.24
1	20140707	2463.32
